| 2017_Apr_27 | The Mist | Mike, Jay | http://redlettermedia.com/the-mist-review/, https://www.youtube.com/watch?v=1asq06rh2qo, https://twitter.com/redlettermedia/status/857583036929650688
| 2017_May_07 | Twin Peaks: Fire Walk with Me | Jay, Josh | http://redlettermedia.com/twin-peaks-fire-walk-with-me-review/, https://www.youtube.com/watch?v=Bd1bbjXCfyY, https://twitter.com/redlettermedia/status/865545671658446848
| 2017_Jun_25 | Transformers: The Last Knight | Jim, Colin | http://redlettermedia.com/transformers-the-last-knight-review/, https://twitter.com/redlettermedia/status/879106958544044032
| 2017_Jul_02 | Blade Runner | Jay, Colin | http://redlettermedia.com/blade-runner-review/, https://www.youtube.com/watch?v=adjfTktpIzg, 
| 2017_Jul_21 | George A. Romero's Martin | Jay, Josh | http://redlettermedia.com/george-a-romeros-martin-review/, https://www.youtube.com/watch?v=C47zRs6SPZM, https://twitter.com/redlettermedia/status/888382888894509056
| 2017_Aug_26 | Blind Fury | Rich, Len Kabasinski | http://redlettermedia.com/blind-fury-review/, https://www.youtube.com/watch?v=2vPRZ8enOoU, https://twitter.com/redlettermedia/status/901536133250768900
| 2017_Sep_24 | Joe Versus the Volcano | Josh, Jim | http://redlettermedia.com/joe-versus-the-volcano-review/, https://www.youtube.com/watch?v=aw0z9kK7ssQ, https://twitter.com/redlettermedia/status/911937796243324929
| 2017_Sep_28 | Star Trek Discovery (Pilot Episodes) | Mike, Rich | http://redlettermedia.com/star-trek-discovery-pilot-episodes-review/, https://www.youtube.com/watch?v=2RVf01en-YA, https://twitter.com/redlettermedia/status/913556576908251136
| 2017_Oct_18 | Re-Animator and From Beyond | Jay, Jack | http://redlettermedia.com/re-animator-and-from-beyond-review/, https://www.youtube.com/watch?v=NAPeMftLe_o, https://twitter.com/redlettermedia/status/920698353788309505
| 2017_Nov_25 | Nothing but Trouble | Rich, Jack | http://redlettermedia.com/nothing-but-trouble-review/, https://www.youtube.com/watch?v=Lz_NLJXcMiE, https://twitter.com/redlettermedia/status/934555758812856321
